car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
3,2,3,0,113110,31486,19094,129,20247,41594,23467,144596
3,2,3,1,111491,31459,16230,129,20278,41579,24543,142950
3,2,4,0,149430,31473,14301,139,20237,48387,57730,180903
3,2,4,1,146470,31446,11449,139,20251,48366,57649,177916
3,2,5,0,132130,31486,14879,64,20209,40852,47502,163616
3,2,5,1,128456,31461,11271,64,20230,40823,47429,159917
3,2,6,0,141574,31455,31079,541,20249,37222,44390,173029
3,2,6,1,139399,31464,29197,541,20251,36988,44336,170863
3,2,7,0,108803,31455,20787,217,20234,36513,22549,140258
3,2,7,1,105874,31422,17656,217,20252,36552,22483,137296
3,2,8,0,159673,31443,15088,89,20216,38705,45705,191116
3,2,8,1,124495,31456,11946,89,20211,38676,44843,155951
3,2,9,0,117158,31474,16029,108,20192,33519,38783,148632
3,2,9,1,113068,31460,12724,108,20203,33324,38225,144528
3,2,10,0,127018,31456,16394,108,20211,37772,43913,158474
3,2,10,1,123309,31471,12753,108,20219,37754,43937,154780
3,2,11,0,127474,31454,34870,540,20261,40344,23279,158928
3,2,11,1,126262,31419,33520,540,20252,40329,23235,157681
3,2,12,0,137420,31470,17662,127,20246,42015,48738,168890
3,2,12,1,132176,31465,13830,127,20239,41289,48134,163641
4,0,1,0,123718,31468,12763,68,20225,32649,49229,155186
4,0,1,1,123053,31467,12788,68,20235,32489,48702,154520
4,0,2,0,124622,31451,15760,118,20226,32203,47462,156073
4,0,2,1,124391,31473,15737,118,20215,32145,47461,155864
4,0,3,0,99777,31482,14451,95,20233,31565,24548,131259
4,0,3,1,99744,31457,14266,95,20237,31652,24460,131201
4,0,4,0,127776,31445,12718,46,20215,35239,50619,159221
4,0,4,1,126999,31470,12665,46,20216,35152,50172,158469
4,0,5,0,159871,31517,26302,312,20246,33892,49099,191388
4,0,5,1,136010,31468,25192,312,20258,32686,48917,167478
4,0,6,0,128697,31439,16950,138,20234,32671,49508,160136
4,0,6,1,127549,31488,15808,138,20222,32712,49937,159037
4,0,7,0,103030,31439,13198,68,20227,35378,25210,134469
4,0,7,1,103220,31457,13218,68,20236,35395,25205,134677
4,0,8,0,139361,31493,14593,111,20219,38333,57300,170854
4,0,8,1,139419,31493,14540,111,20235,38299,57497,170912
4,0,9,0,133957,31471,14231,95,20233,36336,54276,165428
4,0,9,1,134013,31476,14238,95,20237,36356,54260,165489
4,0,10,0,136843,31474,12229,42,20232,38524,56898,168317
4,0,10,1,136724,31467,12259,42,20232,38521,56847,168191
4,0,11,0,119249,31962,25229,370,20255,38940,25569,151211
4,0,11,1,142426,31496,25132,370,20280,39423,26764,173922
